('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/df5c5a56-c741-4eb2-965c-48277df6c4df_bochum_000000_003005_edit.png', array([-0.3134752, -1.3126813], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8fefad3a-9199-4b90-8233-f92979007329_stuttgart_000068_000019_edit.png', array([-0.5995061, -0.7964713], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/c30312c9-9227-42e2-b96f-16f7ee591b68_ulm_000092_000019_edit.png', array([-0.53752434, -0.8775337 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/dda0d498-1bfb-4cca-b7d4-2b1d0465d9b9_dusseldorf_000028_000019_edit.png', array([-0.47201467, -0.9774864 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/c706bc1b-ea70-400b-a2b0-cab8b0700870_erfurt_000091_000019_edit.png', array([-0.39287174, -1.1242851 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/67680ddb-9628-4343-85d6-052dc8e5fb74_dusseldorf_000088_000019_edit.png', array([-0.32260108, -1.288307  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/d719f856-237d-45e4-8bcf-9f9b15d7670f_stuttgart_000068_000019_edit.png', array([-0.45943016, -0.99870384], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/add_car_lighting_test_with_shadows/20238729-308b-4d2e-b18f-d364e1076b76_ulm_000055_000019_edit.png', array([-0.3476889, -1.2252598], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/add_car_check_perspective_rotated/fb7e8c63-47bf-49d1-8c90-735808ceec95_monchengladbach_000000_020596_edit.png', array([-0.31394702, -1.3114012 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8c0bc47f-3be4-42c9-8dc1-9f66d4d80552_bremen_000238_000019_edit.png', array([-0.51467144, -0.9105494 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/5b536c5c-2c03-4e0f-8f5d-a476657a65db_stuttgart_000156_000019_edit.png', array([-0.31404293, -1.3111409 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/ce8d843b-a72c-4fd9-8a98-b155299c4444_aachen_000063_000019_edit.png', array([-0.4411384, -1.0308704], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_add_car/8a6b3410-4cd5-480e-816c-755f71d3260d_monchengladbach_000000_020596_edit.png', array([-0.45353115, -1.008901  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/21c69300-6a84-489f-937c-5a1f2f009671_bochum_000000_008162_edit.png', array([-0.31337923, -1.3129418 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8ba82487-9366-463b-b499-402f36eab8a4_aachen_000058_000019_edit.png', array([-0.39873576, -1.1122085 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/50e3ee52-59bc-43f0-bece-a6e2def92568_hanover_000000_000381_edit.png', array([-0.67216676, -0.7145772 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/7e9d935f-5afa-47c3-9a5f-756551e06041_dusseldorf_000153_000019_edit.png', array([-0.32714766, -1.2764621 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/7775af14-1cd5-4ec0-80b4-7ed0bcb0426f_ulm_000025_000019_edit.png', array([-0.37955612, -1.1525356 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7e1eef13-8fed-452f-baf2-71104046ee5e_ulm_000002_000019_edit.png', array([-0.48194808, -0.9612336 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/7e112621-c69f-4f88-ba18-a98f35409ac6_hamburg_000000_077642_edit.png', array([-0.3166753, -1.3040408], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/be455204-ee98-4011-876d-6e1e60673ab2_erfurt_000096_000019_edit.png', array([-0.3152272, -1.3079382], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/b5dc473e-7881-4481-a80b-7dfd702f212e_strasbourg_000001_043886_edit.png', array([-0.47944814, -0.96528393], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d2c700f4-d908-4c14-aac9-eb3c2013abec_hamburg_000000_067223_edit.png', array([-0.6914122 , -0.69488513], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/b0ebbe33-d205-40e1-bf77-79d45df70e62_erfurt_000092_000019_edit.png', array([-0.35986018, -1.1965797 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/de968835-9984-46dd-9fee-9f44118d2d4f_hanover_000000_006922_edit.png', array([-0.31328297, -1.3132039 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/999d8c07-5c0d-4ae5-a0f7-e84afd3d77ea_bochum_000000_009951_edit.png', array([-0.3471375, -1.226587 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/97da041c-e66d-44af-a0f1-2096fea2729e_stuttgart_000160_000019_edit.png', array([-0.3733515, -1.1661096], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/bf7e5a16-04ae-4978-aa97-e13cabaeed84_bochum_000000_005936_edit.png', array([-0.6661244 , -0.72092056], dtype=float32))
