('80a00cb9-db78-45ee-b738-45d227c22165_cologne_000005_000019', {'poly_id': 'cologne_000005_000019_22', 'color_shift': 73, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0e7eacd4-220d-4f88-a4fe-96c9522b0021_stuttgart_000150_000019', {'poly_id': 'stuttgart_000150_000019_30', 'color_shift': 127, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('e29f645e-b8d6-4cc1-a8bb-38abdc83da6c_lindau_000028_000019', {'poly_id': 'lindau_000028_000019_16', 'color_shift': 96, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('9e9ed14c-2012-4768-926b-f8f19f0a048d_munster_000081_000019', {'poly_id': 'munster_000081_000019_33', 'color_shift': 92, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('7fa1c757-beb4-46df-b9f7-fae0cedc45e6_dusseldorf_000153_000019', {'poly_id': 'dusseldorf_000153_000019_72', 'color_shift': 106, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('2614c082-64ef-4336-81e5-63c467de0aa4_dusseldorf_000076_000019', {'poly_id': 'dusseldorf_000076_000019_10', 'color_shift': 85, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('58659186-f668-4184-a453-9de751f2bae5_cologne_000052_000019', {'poly_id': 'cologne_000052_000019_50', 'color_shift': 117, 'dec_lit': 39, 'inc_sat': 22, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('21bdc221-5628-48b8-aeaa-d8da3600e680_hanover_000000_019456', {'poly_id': 'hanover_000000_019456_59', 'color_shift': 80, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('4361c650-fe24-4c32-922a-329b6016ad18_cologne_000091_000019', {'poly_id': 'cologne_000091_000019_59', 'color_shift': 55, 'dec_lit': 50, 'inc_sat': 23, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('24b9c306-53d0-41bd-b2cd-41d0cfd29482_tubingen_000061_000019', {'poly_id': 'tubingen_000061_000019_40', 'color_shift': 109, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('c6ea8447-8fc3-4fed-b82b-ce5227a1ab21_hanover_000000_014319', {'poly_id': 'hanover_000000_014319_52', 'color_shift': 125, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
